# PyPlc Ver3 Circuit Data
# Format: row,col,device_type,address,state
# Created: 2025-08-05 23:27:01
row,col,device_type,address,state

1,1,LINK_HORZ,X11,False

1,2,CONTACT_A,X12,False

1,3,LINK_HORZ,X13,False

1,4,LINK_BRANCH,X14,False

1,5,LINK_HORZ,X15,False

1,6,LINK_HORZ,X16,False

1,7,LINK_HORZ,X17,False

1,8,LINK_HORZ,X18,False

1,9,LINK_HORZ,X19,False

1,10,LINK_HORZ,X110,False

1,11,LINK_HORZ,X111,False

1,12,LINK_HORZ,X112,False

1,13,LINK_HORZ,X113,False

1,14,LINK_HORZ,X114,False

1,15,LINK_HORZ,X115,False

1,16,LINK_HORZ,X116,False

1,17,LINK_HORZ,X117,False

1,18,COIL_STD,X118,False

2,1,CONTACT_A,X118,True

2,2,LINK_HORZ,X22,False

2,3,CONTACT_B,X23,True

2,4,LINK_BRANCH,X24,False

